1/2/2014,12,14
1/3/2014,12.1,14.1
1/6/2014,12.2,14.2
1/7/2014,12.3,14.3
1/8/2014,12.4,14.4
1/9/2014,12.5,14.5
1/10/2014,12.6,14.6
1/13/2014,12.7,14.7
1/14/2014,12.8,14.8
1/15/2014,12.9,14.9
1/16/2014,13,15
1/17/2014,13.1,15.1
1/21/2014,13.2,15.2
1/22/2014,13.3,15.3
1/23/2014,13.4,15.4
1/24/2014,13.5,15.5
1/27/2014,13.6,15.6
1/28/2014,13.7,15.7
1/29/2014,13.8,15.8
1/30/2014,13.9,15.9
1/31/2014,14,16
2/3/2014,14.1,16.1
2/4/2014,14.2,16.2
2/5/2014,14.3,16.3
2/6/2014,14.4,16.4
2/7/2014,14.5,16.5
2/10/2014,14.6,16.6
2/11/2014,14.7,16.7
2/12/2014,14.8,16.8
2/13/2014,14.9,16.9
2/14/2014,15,17
2/18/2014,15.1,17.1
2/19/2014,15.2,17.2
2/20/2014,15.3,17.3
2/21/2014,15.4,17.4
2/24/2014,15.5,17.5
2/25/2014,15.6,17.6
2/26/2014,15.7,17.7
2/27/2014,15.8,17.8
2/28/2014,15.9,17.9
3/3/2014,16,18
3/4/2014,16.1,18.1
3/5/2014,16.2,18.2
3/6/2014,16.3,18.3
3/7/2014,16.4,18.4
3/10/2014,16.5,18.5
3/11/2014,16.6,18.6
3/12/2014,16.5,18.5
3/13/2014,16.4,18.4
3/14/2014,16.3,18.3
3/17/2014,16.2,18.2
3/18/2014,16.1,18.1
3/19/2014,16,18
3/20/2014,15.9,17.9
3/21/2014,15.8,17.8
3/24/2014,15.7,17.7
3/25/2014,15.6,17.6
3/26/2014,15.5,17.5
3/27/2014,15.4,17.4
3/28/2014,15.3,17.3
3/31/2014,15.2,17.2
4/1/2014,15.1,17.1
4/2/2014,15,17
4/3/2014,14.9,16.9
4/4/2014,14.8,16.8
4/7/2014,14.7,16.7
4/8/2014,14.6,16.6
4/9/2014,14.5,16.5
4/10/2014,14.4,16.4
4/11/2014,14.3,16.3
4/14/2014,14.2,16.2
4/15/2014,14.1,16.1
4/16/2014,14,16
4/17/2014,13.9,15.9
4/21/2014,13.8,15.8
4/22/2014,13.7,15.7
4/23/2014,13.6,15.6
4/24/2014,13.5,15.5
4/25/2014,13.4,15.4
4/28/2014,13.3,15.3
4/29/2014,13.2,15.2
4/30/2014,13.1,15.1
5/1/2014,13,15
5/2/2014,12.9,14.9
5/5/2014,12.8,14.8
5/6/2014,12.7,14.7
5/7/2014,12.6,14.6
5/8/2014,12.5,14.5
5/9/2014,12.4,14.4
5/12/2014,12.3,14.3
5/13/2014,12.2,14.2
5/14/2014,12.1,14.1
5/15/2014,12,14
5/16/2014,11.9,13.9
5/19/2014,11.8,13.8
5/20/2014,11.7,13.7
5/21/2014,11.6,13.6
5/22/2014,11.5,13.5
5/23/2014,11.4,13.4
5/27/2014,11.3,13.3
5/28/2014,11.2,13.2
5/29/2014,11.1,13.1
5/30/2014,11,13
6/2/2014,10.9,12.9
6/3/2014,10.8,12.8
6/4/2014,10.7,12.7
6/5/2014,10.6,12.6
6/6/2014,10.5,12.5
6/9/2014,10.4,12.4
6/10/2014,10.3,12.3
6/11/2014,10.2,12.2
6/12/2014,10.1,12.1
6/13/2014,10,12
6/16/2014,9.9,11.9
6/17/2014,9.8,11.8
6/18/2014,9.7,11.7
6/19/2014,9.6,11.6
6/20/2014,9.7,11.7
6/23/2014,9.8,11.8
6/24/2014,9.9,11.9
6/25/2014,10,12
6/26/2014,10.1,12.1
6/27/2014,10.2,12.2
6/30/2014,10.3,12.3
7/1/2014,10.4,12.4
7/2/2014,10.5,12.5
7/3/2014,10.6,12.6
7/7/2014,10.7,12.7
7/8/2014,10.8,12.8
7/9/2014,10.9,12.9
7/10/2014,11,13
7/11/2014,11.1,13.1
7/14/2014,11.2,13.2
7/15/2014,11.3,13.3
7/16/2014,11.4,13.4
7/17/2014,11.5,13.5
